DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings,Common Target Pref Name,Active
J0002I,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(S(F)(F)(F)(F)F)c2)CC1,523.587,6.969,2,1,35.58,8,3,DCN1/UBE2M,Active
J0002J,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc3c(c2)OC(F)(F)O3)CC1,459.537,5.171,4,1,54.04,7,4,DCN1/UBE2M,Active
J0002K,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(F)c(C(F)(F)F)c2)CC1,465.535,6.06,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002L,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(F)c(S(F)(F)(F)(F)F)c2)CC1,523.587,6.969,2,1,35.58,8,3,DCN1/UBE2M,Active
J0002M,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)CC1,481.99,6.521,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002N,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(C(C)C)c2)CC1,421.629,6.379,2,1,35.58,8,3,DCN1/UBE2M,Active
J0002O,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)c(F)c2)CC1,431.983,5.757,2,1,35.58,7,3,DCN1/UBE2M,Active
J00021,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(OC(F)(F)F)c2)CC1,463.544,6.141,3,1,44.81,8,3,DCN1/UBE2M,Active
J00022,C=CC(=O)Nc1ccccc1CN(C(=O)Nc1cccc(C(F)(F)F)c1)C1CCN(CC2CC3C=CC2C3)CC1,552.641,5.663,3,2,64.68,8,5,DCN1/UBE2M,Active
J00023,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)cc2)CC1,413.993,5.596,2,1,35.58,7,3,DCN1/UBE2M,Active
J00024,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(Cc3ccccc3)c2)CC1,469.673,6.94,2,1,35.58,9,4,DCN1/UBE2M,Active
J00025,CC(C1CCC1)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,477.546,6.017,2,1,35.58,6,4,DCN1/UBE2M,Active
J00026,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)c(Cl)c2)CC1,448.438,6.218,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002E,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C)c(F)c2)CC1,411.565,5.361,2,1,35.58,7,3,DCN1/UBE2M,Active
C101B7,COCC#Cc1cc(C(O)(C(F)(F)F)C(F)(F)F)cnc1-c1ccc(S(=O)(=O)c2ccc(N)nc2)cc1,545.461,4.629,7,2,115.4,5,3,Glucokinase/Glucokinase regulatory protein,Active
J00027,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(S(F)(F)(F)(F)F)c2)CC1,505.597,6.808,2,1,35.58,8,3,DCN1/UBE2M,Active
J00028,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)CC1,506.09,7.077,3,1,44.81,9,4,DCN1/UBE2M,Active
C000HJ,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,278.307,3.477,3,0,43.37,0,4,MENIN/MLL,Inactive
J0002A,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(SC(F)(F)F)cc2)CC1,479.612,6.718,3,1,35.58,8,3,DCN1/UBE2M,Active
J0002B,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C)c([N+](=O)[O-])c2)CC1,438.572,5.092,4,1,78.72,8,3,DCN1/UBE2M,Active
J0002C,CCCCCCc1ccc(NC(=O)N(Cc2ccccc2)C2CCN(C(C)CCC)CC2)cc1,463.71,8.151,2,1,35.58,12,3,DCN1/UBE2M,Active
J0002D,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)c(Cl)c2F)CC1,466.428,6.379,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002F,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(SC)c2)CC1,425.642,5.716,3,1,35.58,8,3,DCN1/UBE2M,Active
J0002G,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,451.508,5.6,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002H,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)CC1,472.555,5.622,3,1,59.37,7,3,DCN1/UBE2M,Active
J0002I,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(S(F)(F)(F)(F)F)c2)CC1,523.587,6.969,2,1,35.58,8,3,DCN1/UBE2M,Active
J0002J,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc3c(c2)OC(F)(F)O3)CC1,459.537,5.171,4,1,54.04,7,4,DCN1/UBE2M,Active
J0002K,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(F)c(C(F)(F)F)c2)CC1,465.535,6.06,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002L,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(F)c(S(F)(F)(F)(F)F)c2)CC1,523.587,6.969,2,1,35.58,8,3,DCN1/UBE2M,Active
J0002M,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)CC1,481.99,6.521,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002N,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(C(C)C)c2)CC1,421.629,6.379,2,1,35.58,8,3,DCN1/UBE2M,Active
J0002O,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)c(F)c2)CC1,431.983,5.757,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002P,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C)cc2)CC1,393.575,5.411,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002R,CCCCN1C(C)CC(N(Cc2ccccc2)C(=O)Nc2cccc(C(F)(F)F)c2)CC1C,461.572,6.359,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002S,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(Cl)c2F)CC1,431.983,5.757,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002T,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(CC)c2)CC1,393.575,5.415,2,1,35.58,8,3,DCN1/UBE2M,Active
J0002U,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,463.544,6.141,3,1,44.81,8,3,DCN1/UBE2M,Active
J0002V,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Oc3ccncc3)cc2)CC1,472.633,5.203,4,1,57.7,9,4,DCN1/UBE2M,Active
J0002W,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(C(F)(F)F)c2F)CC1,451.508,5.6,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002X,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(F)c(C(F)(F)F)c2)CC1,451.508,5.6,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002Y,CCC(CC)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,465.535,5.849,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002Z,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc3ncsc3c2)CC1,436.625,4.891,4,1,48.47,7,4,DCN1/UBE2M,Active
J00030,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C(C)C)cc2)CC1,421.629,6.379,2,1,35.58,8,3,DCN1/UBE2M,Active
J00031,CCCc1ccc(NC(=O)N(Cc2ccccc2)C2CCN(C(C)CCC)CC2)cc1,421.629,6.444,2,1,35.58,9,3,DCN1/UBE2M,Active
C101B8,C[C@H](O)C#Cc1cc(C(O)(C(F)(F)F)C(F)(F)F)cnc1-c1ccc(S(=O)(=O)c2ccc(N)nc2)cc1,545.461,4.636,7,3,126.4,4,3,Glucokinase/Glucokinase regulatory protein,Active
J00032,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Oc3ccccc3)c(C(F)(F)F)c2)CC1,539.642,7.38,3,1,44.81,9,4,DCN1/UBE2M,Active
J00033,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(Cl)c(Cl)cc2F)CC1,466.428,6.379,2,1,35.58,7,3,DCN1/UBE2M,Active
J00034,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(F)c(F)c2)CC1,415.528,5.296,2,1,35.58,7,3,DCN1/UBE2M,Active
J00035,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(F)c(Cl)c2)CC1,431.983,5.757,2,1,35.58,7,3,DCN1/UBE2M,Active
J00036,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(C)c2)CC1,393.575,5.411,2,1,35.58,7,3,DCN1/UBE2M,Active
J00037,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)c(F)c(F)c2)CC1,433.518,5.457,2,1,35.58,7,3,DCN1/UBE2M,Active
J00038,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc3c(c2)OCO3)CC1,423.557,4.463,4,1,54.04,7,4,DCN1/UBE2M,Active
J00039,CCC(C)CN1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,465.535,5.897,2,1,35.58,7,3,DCN1/UBE2M,Active
J0003A,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(F)c(Cl)c2)CC1,417.956,5.297,2,1,35.58,7,3,DCN1/UBE2M,Active
J0003B,CC(C)C(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,465.535,5.788,2,1,35.58,6,3,DCN1/UBE2M,Active
J0003C,C#Cc1ccccc1CN1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,509.547,6.458,2,1,35.58,6,4,DCN1/UBE2M,Active
J0003D,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)cc2F)CC1,431.983,5.757,2,1,35.58,7,3,DCN1/UBE2M,Active
J0003E,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(OCc3ccccc3)c2)CC1,485.672,6.599,3,1,44.81,10,4,DCN1/UBE2M,Active
J0003G,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(C(=O)OC)c2)CC1,437.584,4.91,4,1,61.88,8,3,DCN1/UBE2M,Active
J0003H,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(C)cc(Cl)c2)CC1,428.02,6.033,2,1,35.58,7,3,DCN1/UBE2M,Active
J0003I,CCCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,465.535,6.169,2,1,35.58,8,3,DCN1/UBE2M,Active
J0003J,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(C(F)(F)F)ccc2Cl)CC1,481.99,6.521,2,1,35.58,7,3,DCN1/UBE2M,Active
J0003K,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(F)c2)CC1,397.538,5.135,2,1,35.58,7,3,DCN1/UBE2M,Active
J0003L,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(C)cc(C)c2)CC1,407.602,5.848,2,1,35.58,7,3,DCN1/UBE2M,Active
J0003M,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C(C)(C)C)cc2)CC1,435.656,6.791,2,1,35.58,7,3,DCN1/UBE2M,Active
J0003N,CC(C1CCCCC1)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,505.6,7.155,2,1,35.58,6,4,DCN1/UBE2M,Active
J0003O,CSC(C)CCN1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,497.602,5.941,3,1,35.58,8,3,DCN1/UBE2M,Active
J0003P,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cccc([N+](=O)[O-])c2)CC1,410.518,4.406,4,1,78.72,8,3,DCN1/UBE2M,Active
J0003Q,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(S(F)(F)(F)(F)F)ccc2F)CC1,523.587,6.969,2,1,35.58,8,3,DCN1/UBE2M,Active
J0003R,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc3c[nH]nc3c2)CC1,419.573,5.412,3,2,64.26,7,4,DCN1/UBE2M,Active
J0003S,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(OC)c(F)c2)CC1,427.564,5.05,3,1,44.81,8,3,DCN1/UBE2M,Active
J0003T,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C3CCCCC3)cc2)CC1,461.694,7.746,2,1,35.58,8,4,DCN1/UBE2M,Active
J0003U,CC(CCN1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1)c1ccccc1,527.606,6.98,2,1,35.58,8,4,DCN1/UBE2M,Active
J0003V,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Br)cc2Cl)CC1,492.889,6.394,2,1,35.58,7,3,DCN1/UBE2M,Active
J0003W,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(N(C)C)c2)CC1,422.617,5.183,3,1,38.82,8,3,DCN1/UBE2M,Active
J0003X,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(Cl)cc(C(F)(F)F)c2)CC1,481.99,6.521,2,1,35.58,7,3,DCN1/UBE2M,Active
C101B9,C[C@H](O)C#Cc1cc(C(O)(C(F)(F)F)C(F)(F)F)cnc1-c1ccc(S(=O)(=O)c2ccc(N)nc2)cc1,545.461,4.636,7,3,126.4,4,3,Glucokinase/Glucokinase regulatory protein,Active
J0006O,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2c(C)cccc2C)CC1,407.602,5.426,2,1,35.58,7,3,DCN1/UBE2M,Inactive
J0003Y,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(-c3cccc(C(=O)OC)c3)cc2)CC1,513.682,6.85,4,1,61.88,9,4,DCN1/UBE2M,Active
J0003Z,CC(c1ccc2c(c1)OCO2)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,543.561,5.975,4,1,54.04,6,5,DCN1/UBE2M,Active
J00040,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(-c3ccccc3)c2)CC1,455.646,6.914,2,1,35.58,8,4,DCN1/UBE2M,Active
J00041,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)CC1,492.542,5.791,4,1,78.72,8,3,DCN1/UBE2M,Active
J00042,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(OC)c2)CC1,409.574,4.889,3,1,44.81,8,3,DCN1/UBE2M,Active
C00196,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1,297.31,3.224,3,2,75.63,5,2,MENIN/MLL,Inactive
C101BA,CC(O)(c1ccc(-c2ccc(S(=O)(=O)c3ccc(N)nc3)nc2NC2CCCCC2)nc1)C(F)(F)F,521.565,4.298,8,3,131.09,6,4,Glucokinase/Glucokinase regulatory protein,Active
C0034G,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,304.217,3.926,2,1,40.54,9,1,Runt-related transcription factor 1/Core-binding factor subunit beta,Inactive
J00043,O=C(Nc1cc(F)cc(C(F)(F)F)c1)N(Cc1ccccc1)C1CCN(CCCc2ccccc2)CC1,513.579,6.476,2,1,35.58,8,4,DCN1/UBE2M,Active
J00044,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(F)c2)CC1,383.511,4.675,2,1,35.58,7,3,DCN1/UBE2M,Active
J00045,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(OC)c(Cl)c2)CC1,444.019,5.511,3,1,44.81,8,3,DCN1/UBE2M,Active
J00046,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc3cccnc23)CC1,430.596,5.077,3,1,48.47,7,4,DCN1/UBE2M,Active
J00047,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(OC(C)C)c2)CC1,437.628,5.772,3,1,44.81,9,3,DCN1/UBE2M,Active
J00048,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(C(C)(C)C)c2)CC1,435.656,6.791,2,1,35.58,7,3,DCN1/UBE2M,Active
J00049,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)cc2C#N)CC1,439.003,5.319,3,1,59.37,7,3,DCN1/UBE2M,Active
J0004A,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(C#N)c2)CC1,390.531,4.237,3,1,59.37,7,3,DCN1/UBE2M,Active
J0004C,O=C(Nc1cc(F)cc(C(F)(F)F)c1)N(Cc1ccccc1)C1CCN(C/C=C/c2ccccc2)CC1,511.563,6.562,2,1,35.58,7,4,DCN1/UBE2M,Active
J0004D,O=C(Nc1cc(F)cc(C(F)(F)F)c1)N(Cc1ccccc1)C1CCN(CC2CCOC2)CC1,479.518,4.44,3,1,44.81,6,4,DCN1/UBE2M,Active
J0004E,CC(c1ccccn1)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,500.54,5.323,3,1,48.47,6,4,DCN1/UBE2M,Active
J0004F,CC(c1ccccc1)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,499.552,6.486,2,1,35.58,6,4,DCN1/UBE2M,Active
J0004G,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(F)c2C)CC1,411.565,5.361,2,1,35.58,7,3,DCN1/UBE2M,Active
J0004H,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(-c3nc4ccccc4s3)cc2)CC1,512.723,6.456,4,1,48.47,8,5,DCN1/UBE2M,Active
J0004I,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(O)cc2C)CC1,409.574,4.794,3,2,55.81,7,3,DCN1/UBE2M,Active
C00197,CSc1nc(N)nc(SC2C=CCCC2)c1C#N,278.406,2.105,6,1,75.59,3,2,MENIN/MLL,Inactive
J0004K,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccn(-c3ccc(Cl)cc3)n2)CC1,480.056,6.062,4,1,53.4,8,4,DCN1/UBE2M,Active
J0004L,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C)cc2F)CC1,411.565,5.572,2,1,35.58,7,3,DCN1/UBE2M,Active
J0004M,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(F)c2F)CC1,415.528,5.296,2,1,35.58,7,3,DCN1/UBE2M,Active
J0004N,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(C(F)(F)F)ccc2F)CC1,465.535,6.06,2,1,35.58,7,3,DCN1/UBE2M,Active
J0004O,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(-c3ccc(OC)cc3)cc2)CC1,485.672,6.829,3,1,44.81,9,4,DCN1/UBE2M,Active
J0004P,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Br)cc2C)CC1,472.471,5.998,2,1,35.58,7,3,DCN1/UBE2M,Active
J0004Q,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2c(C(C)C)cccc2C(C)C)CC1,463.71,7.362,2,1,35.58,9,3,DCN1/UBE2M,Active
J0004R,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)c(F)cc2F)CC1,433.518,5.457,2,1,35.58,7,3,DCN1/UBE2M,Inactive
J0004S,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C(=O)OC)cc2)CC1,437.584,4.91,4,1,61.88,8,3,DCN1/UBE2M,Inactive
J0004T,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(F)c2Cl)CC1,431.983,5.757,2,1,35.58,7,3,DCN1/UBE2M,Inactive
J0004U,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)ccc2Cl)CC1,431.983,5.757,2,1,35.58,7,3,DCN1/UBE2M,Inactive
J0004V,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C(F)(F)F)cc2[N+](=O)[O-])CC1,492.542,6.649,4,1,78.72,8,3,DCN1/UBE2M,Inactive
J0004W,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C(F)(F)F)nc2C)CC1,462.56,5.051,3,1,48.47,7,3,DCN1/UBE2M,Inactive
J0004X,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C)cc2Cl)CC1,428.02,6.033,2,1,35.58,7,3,DCN1/UBE2M,Inactive
J0004Y,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(CC#N)cc2)CC1,418.585,4.512,3,1,59.37,8,3,DCN1/UBE2M,Inactive
J0004Z,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(O)c2)CC1,395.547,4.568,3,2,55.81,7,3,DCN1/UBE2M,Inactive
J00051,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cncc(C(F)(F)F)c2)CC1,434.506,4.187,3,1,48.47,7,3,DCN1/UBE2M,Inactive
J00052,CCCCN1C(C)(C)CC(N(Cc2ccccc2)C(=O)Nc2cccc(C(F)(F)F)c2)CC1(C)C,489.626,7.193,2,1,35.58,7,3,DCN1/UBE2M,Inactive
J00053,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C(=O)OC)cc2Cl)CC1,472.029,5.532,4,1,61.88,8,3,DCN1/UBE2M,Inactive
J00054,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccccc2OC(F)(F)F)CC1,463.544,6.141,3,1,44.81,8,3,DCN1/UBE2M,Inactive
J00055,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)CC1,591.64,8.764,2,1,35.58,8,4,DCN1/UBE2M,Active
J00056,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C(=O)OC)cc2I)CC1,563.48,5.978,4,1,61.88,8,3,DCN1/UBE2M,Inactive
J00057,CC(N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(C(F)(F)F)c2)CC1)C(F)(F)F,473.461,5.974,2,1,35.58,5,3,DCN1/UBE2M,Inactive
J000DV,COc1cccc(C(=O)NCc2cccc(-c3cn4c(n3)CCC4)c2)c1,347.418,3.774,4,1,56.15,5,4,WDR5/Mixed-lineage leukemia 1 (MLL1),Active
J00059,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(F)c(F)c2F)CC1,433.518,5.457,2,1,35.58,7,3,DCN1/UBE2M,Inactive
J0005A,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(Cl)ccc2F)CC1,431.983,5.757,2,1,35.58,7,3,DCN1/UBE2M,Inactive
