DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings,Common Target Pref Name,Active
T0000P,Fc1cccc(F)c1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,374.354,5.381,5,2,79.38,3,5,"BCL-like/BAX,BAK",Active
T0000Q,CC(C)C[C@@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,602.693,1.487,7,7,238.41,10,2,Integrins,Active
T0000R,CCCCC(=O)[C@@H]1CCCCN1C(=O)C(=O)C(C)(C)CC,295.423,2.827,3,0,54.45,7,1,FKBP1A/FK506,Active
T0000S,O=C(N[C@@H](Cc1ccc(OCCCNc2ccccn2)cc1)C(=O)O)c1c(Cl)cccc1Cl,488.371,3.065,5,3,100.55,11,3,Integrins,Active
T0000T,O=C(N[C@@H](Cc1ccc(OCCCNc2ccccn2)cc1)C(=O)O)c1c(Cl)cccc1Cl,488.371,3.065,5,3,100.55,11,3,Integrins,Active
T0000U,CCN(CC)c1nc(C)c([N+](=O)[O-])c(NCCNC(=S)Nc2ccc(C)c(Cl)c2)n1,451.984,5.28,7,3,108.25,9,2,Cyclophilins,Active
T0000V,CC(C)C[C@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2c[nH]cn2)NC(=O)CNC(=O)CC2(CCCCC2)SSC[C@@H](C(=O)N[C@@H](C)C(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC1=O,1138.346,-1.785,16,16,493.98,17,3,Integrins,Active
T0000W,CC(C)C[C@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2c[nH]cn2)NC(=O)CNC(=O)CC2(CCCCC2)SSC[C@@H](C(=O)N[C@@H](C)C(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC1=O,1138.346,-1.785,16,16,493.98,17,3,Integrins,Active
T0000X,CC(C)C[C@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2c[nH]cn2)NC(=O)CNC(=O)CC2(CCCCC2)SSC[C@@H](C(=O)N[C@@H](C)C(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC1=O,1138.346,-1.785,16,16,493.98,17,3,Integrins,Active
T0000Y,CC(C)C[C@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2c[nH]cn2)NC(=O)CNC(=O)CC2(CCCCC2)SSC[C@@H](C(=O)N[C@@H](C)C(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC1=O,1138.346,-1.785,16,16,493.98,17,3,Integrins,Active
T0000Z,CC(C)C[C@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2c[nH]cn2)NC(=O)CNC(=O)CC2(CCCCC2)SSC[C@@H](C(=O)N[C@@H](C)C(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC1=O,1138.346,-1.785,16,16,493.98,17,3,Integrins,Inactive
T00010,O=C(NC1CCCCCC1)C(Cc1ccccc1)NS(=O)(=O)c1cccc2nsnc12,458.609,4.598,6,2,101.05,7,4,Integrins,Inactive
T00011,CC(C)c1ccccc1Sc1ccc(-c2cc(N3CCC(C(=O)O)CC3)ncn2)cc1C(F)(F)F,501.574,7.045,5,1,66.32,6,4,Integrins,Active
T00012,C/C(=N\Nc1nc2c(F)cccc2s1)c1ccc(-c2ccc(Cl)c(C(=O)O)c2)o1,429.86,5.482,6,2,87.72,5,4,"BCL-like/BAX,BAK",Active
T00013,Cc1cc(C)cc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](CNC(=O)NCc2ccccc2)C(=O)O)c1,502.593,2.1,5,4,144.91,9,3,Integrins,Active
T00014,Cc1cc(C)cc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](CNC(=O)NCc2ccccc2)C(=O)O)c1,502.593,2.1,5,4,144.91,9,3,Integrins,Inactive
T00015,Cc1cc(C)cc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](CNC(=O)NCc2ccccc2)C(=O)O)c1,502.593,2.1,5,4,144.91,9,3,Integrins,Active
T00016,COc1ccccc1-c1ccc(C[C@H](NC(=O)C2(S(=O)(=O)c3ccccc3)CCCNC2)C(=O)O)cc1,522.623,4.713,6,3,121.8,9,4,Integrins,Active
T00017,COc1ccccc1-c1ccc(C[C@H](NC(=O)C2(S(=O)(=O)c3ccccc3)CCCNC2)C(=O)O)cc1,522.623,4.713,6,3,121.8,9,4,Integrins,Active
T00018,COc1ccccc1-c1ccc(C[C@H](NC(=O)C2(S(=O)(=O)c3ccccc3)CCCNC2)C(=O)O)cc1,522.623,4.713,6,3,121.8,9,4,Integrins,Active
T00019,,485.544,3.62,5,5,148.61,8,4,Integrins,Active
T0001A,,485.544,3.62,5,5,148.61,8,4,Integrins,Active
T0001B,,356.444,1.05,5,1,84.94,8,2,FKBP1A/FK506,Inactive
T0001C,,508.619,3.549,4,4,127.84,9,3,Integrins,Inactive
T0001D,,508.619,3.549,4,4,127.84,9,3,Integrins,Inactive
T0001E,,376.441,3.971,6,2,93.51,5,4,"BCL-like/BAX,BAK",Inactive
T0001F,,459.546,1.227,5,3,100.55,8,4,Integrins,Active
T0001G,,459.546,1.227,5,3,100.55,8,4,Integrins,Active
T0001H,,498.963,3.049,6,0,85.38,5,5,FKBP1A/FK506,Active
T0001I,,486.53,-3.531,7,8,261.19,15,0,Integrins,Inactive
T0001J,,486.53,-3.531,7,8,261.19,15,0,Integrins,Inactive
T0001K,,721.7,5.993,9,0,103.84,14,5,FKBP1A/FK506,Inactive
T0001L,,423.473,2.125,6,2,106.08,4,4,Integrins,Active
T0001M,,423.473,2.125,6,2,106.08,4,4,Integrins,Inactive
T0001N,,425.595,2.086,5,3,108.39,14,2,Integrins,Active
T0001O,,647.781,-2.007,11,8,281.5,10,1,Integrins,Active
T0001P,,647.781,-2.007,11,8,281.5,10,1,Integrins,Active
T0001Q,,581.718,1.611,8,2,131.44,11,4,Integrins,Active
T0001R,,581.718,1.611,8,2,131.44,11,4,Integrins,Active
T0001S,,581.718,1.611,8,2,131.44,11,4,Integrins,Active
T0001T,,611.285,4.666,4,2,103.78,7,3,Integrins,Active
T0001U,,611.285,4.666,4,2,103.78,7,3,Integrins,Active
T0001V,,611.285,4.666,4,2,103.78,7,3,Integrins,Active
T0001W,,325.799,4.588,4,1,49.46,5,3,Neuropilin-1/VEGF-A,Active
T0001X,,1031.335,5.335,15,2,213.97,7,5,FKBP1A/FK506,Inactive
T0001Y,,475.506,-2.632,6,7,206.81,13,2,Integrins,Active
T0001Z,,475.506,-2.632,6,7,206.81,13,2,Integrins,Active
T00020,,699.617,1.16,8,3,172.8,10,5,Integrins,Active
T00021,,699.617,1.16,8,3,172.8,10,5,Integrins,Active
T00022,,526.352,2.708,7,6,152.15,8,3,Integrins,Active
T00023,,526.352,2.708,7,6,152.15,8,3,Integrins,Active
T00024,,552.575,1.731,7,4,143.64,13,3,Integrins,Active
T00025,,552.575,1.731,7,4,143.64,13,3,Integrins,Active
T00026,,443.532,5.284,7,2,90.71,5,5,"BCL-like/BAX,BAK",Active
T00027,,449.49,-5.651,8,9,252.32,14,0,Integrins,Active
T00028,,449.49,-5.651,8,9,252.32,14,0,Integrins,Active
T00029,,476.316,4.052,5,3,121.53,7,3,Integrins,Active
T0002A,,476.316,4.052,5,3,121.53,7,3,Integrins,Active
T0002B,,226.275,4.478,1,1,37.3,3,2,"BCL-like/BAX,BAK",Inactive
T0002C,,359.39,-2.043,6,5,159.01,9,2,Integrins,Inactive
T0002D,,359.39,-2.043,6,5,159.01,9,2,Integrins,Inactive
T0002E,,359.39,-2.043,6,5,159.01,9,2,Integrins,Active
T0002F,,359.39,-2.043,6,5,159.01,9,2,Integrins,Active
T0002G,,442.154,9.024,0,0,7.76,2,4,"BCL-like/BAX,BAK",Inactive
T0002H,,442.154,9.024,0,0,7.76,2,4,"BCL-like/BAX,BAK",Inactive
T0002I,,513.656,4.675,5,2,109.77,9,4,Integrins,Active
T0002J,,513.656,4.675,5,2,109.77,9,4,Integrins,Active
T0002K,,513.656,4.675,5,2,109.77,9,4,Integrins,Active
T0002L,,421.457,1.886,4,6,161.16,9,3,Integrins,Active
T0002M,,421.457,1.886,4,6,161.16,9,3,Integrins,Active
T0002N,,457.335,3.13,4,2,103.78,7,3,Integrins,Active
T0002O,,457.335,3.13,4,2,103.78,7,3,Integrins,Active
T0002P,,570.716,2.78,8,4,143.44,9,4,Integrins,Active
T0002Q,,570.716,2.78,8,4,143.44,9,4,Integrins,Active
T0002R,,337.423,2.707,2,2,61.44,5,3,FKBP1A/FK506,Inactive
T0002S,,439.556,2.111,4,3,98.74,7,3,Integrins,Active
T0002T,,439.556,2.111,4,3,98.74,7,3,Integrins,Active
T0002U,,439.556,2.111,4,3,98.74,7,3,Integrins,Active
T0002V,,439.556,2.111,4,3,98.74,7,3,Integrins,Active
T0002W,,644.821,3.254,5,7,185.3,15,4,p53/MDMX,Inactive
T0002X,,593.529,5.634,6,2,105.17,11,4,Integrins,Active
T0002Y,,593.529,5.634,6,2,105.17,11,4,Integrins,Active
T0002Z,,494.572,5.22,6,1,80.89,4,6,"BCL-like/BAX,BAK",Inactive
T00030,,493.608,1.175,5,4,133.63,11,3,XIAP/SMAC,Active
T00031,,462.551,2.548,8,4,147.47,9,3,Integrins,Active
T00032,,462.551,2.548,8,4,147.47,9,3,Integrins,Active
T00033,,423.007,4.099,3,3,69.56,2,2,Transthyretin tetramer,Inactive
T00034,,404.488,1.79,5,2,95.94,5,3,RAC1/TIAM1,Active
T00035,,536.613,3.309,5,3,115.39,7,6,Integrins,Active
T00036,,372.513,1.711,4,3,87.46,6,3,XIAP/SMAC,Inactive
T00037,,430.556,4.09,7,2,67.24,8,5,RAC1/TIAM1,Active
T00038,,570.803,3.313,7,6,152.15,8,3,Integrins,Active
T00039,,570.803,3.313,7,6,152.15,8,3,Integrins,Active
T0003A,,570.803,3.313,7,6,152.15,8,3,Integrins,Active
T0003B,,468.341,3.305,5,5,132.45,10,2,Integrins,Inactive
T0003C,,468.341,3.305,5,5,132.45,10,2,Integrins,Inactive
T0003D,,344.459,2.57,4,3,93.65,5,3,Integrins,Active
T0003E,,344.459,2.57,4,3,93.65,5,3,Integrins,Active
T0003F,,292.726,0.949,5,2,88.0,3,2,HIF-1a/p300,Inactive
T0003G,,350.484,3.201,3,1,66.48,7,2,FKBP1A/FK506,Inactive
T0003H,,388.452,4.734,6,2,87.47,5,4,"BCL-like/BAX,BAK",Active
T0003I,,417.259,3.601,3,3,91.42,6,3,Integrins,Active
T0003J,,230.271,1.105,5,2,84.92,2,2,HIF-1a/p300,Inactive
T0003K,,472.545,3.693,7,2,98.5,9,5,Integrins,Active
T0003L,,624.655,-1.381,8,10,264.93,8,3,Integrins,Active
T0003M,,624.655,-1.381,8,10,264.93,8,3,Integrins,Active
T0003N,,624.655,-1.381,8,10,264.93,8,3,Integrins,Active
T0003O,,624.655,-1.381,8,10,264.93,8,3,Integrins,Active
T0003P,,561.68,-0.889,7,6,191.16,13,2,XIAP/SMAC,Active
T0003Q,,312.366,1.532,5,1,84.94,2,2,Cyclophilins,Inactive
T0003R,,312.366,1.532,5,1,84.94,2,2,Cyclophilins,Inactive
T0003S,,1007.623,12.19,11,3,144.29,17,8,"BCL-like/BAX,BAK",Active
T0003T,,453.549,2.659,7,2,113.94,8,4,Integrins,Inactive
T0003U,,356.422,1.196,4,2,88.52,10,2,Integrins,Active
T0003V,,356.422,1.196,4,2,88.52,10,2,Integrins,Active
T0003W,,553.386,4.523,4,2,103.78,7,3,Integrins,Active
T0003X,,553.386,4.523,4,2,103.78,7,3,Integrins,Inactive
T0003Y,,553.386,4.523,4,2,103.78,7,3,Integrins,Inactive
T0003Z,,466.397,4.804,4,0,63.68,7,3,FKBP1A/FK506,Active
T00040,,534.404,1.849,9,3,142.46,11,3,Integrins,Active
T00041,,534.404,1.849,9,3,142.46,11,3,Integrins,Active
T00042,,612.711,6.052,9,3,164.58,12,4,"BCL-like/BAX,BAK",Inactive
T00043,,612.711,6.052,9,3,164.58,12,4,"BCL-like/BAX,BAK",Active
T00044,,425.533,1.378,5,3,103.43,7,3,XIAP/SMAC,Active
T00045,,687.771,3.933,9,4,175.39,9,5,FKBP1A/FK506,Active
T00046,,256.213,2.48,5,3,94.83,0,3,"BCL-like/BAX,BAK",Active
T00047,,465.51,2.297,9,3,119.76,9,5,Integrins,Active
T00048,,465.51,2.297,9,3,119.76,9,5,Integrins,Active
T00049,,591.473,1.041,6,3,145.77,9,4,Integrins,Active
T0004A,,591.473,1.041,6,3,145.77,9,4,Integrins,Active
T0004B,,755.813,0.565,11,5,200.43,24,3,Integrins,Active
T0004C,,755.813,0.565,11,5,200.43,24,3,Integrins,Active
T0004D,,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
T0004E,,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
T0004F,,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
T0004G,,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
T0004H,,1354.595,-4.732,22,22,677.9,21,2,Integrins,Inactive
T0004I,,706.004,5.504,7,3,154.88,8,5,Integrins,Active
T0004J,,714.636,-7.702,20,1,333.59,16,2,Neuropilin-1/VEGF-A,Inactive
T0004K,,469.572,5.726,3,0,54.45,10,3,FKBP1A/FK506,Active
T0004L,,379.382,4.484,4,2,65.46,3,3,RAC1/TIAM1,Active
T0004M,,332.404,0.779,4,2,85.77,4,3,Integrins,Inactive
T0004N,,332.404,0.779,4,2,85.77,4,3,Integrins,Inactive
T0004O,,339.395,3.226,5,2,76.38,9,3,Integrins,Inactive
T0004P,,339.395,3.226,5,2,76.38,9,3,Integrins,Inactive
T0004Q,,339.395,3.226,5,2,76.38,9,3,Integrins,Inactive
T0004R,,339.395,3.226,5,2,76.38,9,3,Integrins,Inactive
T0004S,,339.395,3.226,5,2,76.38,9,3,Integrins,Active
T0004T,,387.675,4.747,3,2,50.36,2,3,Cyclophilins,Inactive
T0004U,,298.367,3.318,3,2,50.36,2,3,Cyclophilins,Inactive
T0004V,,674.39,2.395,6,3,145.77,9,4,Integrins,Active
T0004W,,494.572,4.987,6,1,80.89,5,6,"BCL-like/BAX,BAK",Inactive
T0004X,,541.626,3.669,6,4,143.06,12,3,Integrins,Active
T0004Y,,490.648,3.58,5,3,94.56,8,5,Integrins,Active
T0004Z,,490.648,3.58,5,3,94.56,8,5,Integrins,Inactive
T00050,,490.648,3.58,5,3,94.56,8,5,Integrins,Active
T00051,,687.797,1.741,10,7,214.47,8,4,Integrins,Active
T00052,,687.797,1.741,10,7,214.47,8,4,Integrins,Active
T00053,,514.604,1.518,6,4,144.91,10,4,Integrins,Active
T00054,,514.604,1.518,6,4,144.91,10,4,Integrins,Active
T00055,,943.16,4.524,13,3,196.46,10,5,FKBP1A/FK506,Active
T00056,,494.979,4.559,4,3,127.79,4,3,Integrins,Active
T00057,,494.979,4.559,4,3,127.79,4,3,Integrins,Active
T00058,,494.979,4.559,4,3,127.79,4,3,Integrins,Active
T00059,,494.979,4.559,4,3,127.79,4,3,Integrins,Active
T0005A,,727.887,6.874,8,3,147.62,11,7,"BCL-like/BAX,BAK",Active
T0005B,,727.887,6.874,8,3,147.62,11,7,"BCL-like/BAX,BAK",Active
T0005C,,559.644,4.683,5,4,133.83,11,4,Integrins,Active
T0005D,,845.846,6.15,9,6,233.25,17,5,STAT3 dimer,Inactive
T0005E,,364.355,3.806,4,2,66.91,3,4,"BCL-like/BAX,BAK",Active
T0005F,,411.252,1.989,7,1,111.64,5,2,"BCL-like/BAX,BAK",Active
T0005G,,278.699,3.354,6,0,69.9,4,2,CRM1/Rev,Inactive
T0005H,,472.35,0.0700000000000003,5,2,116.67,7,3,Integrins,Active
T0005I,,472.35,0.0700000000000003,5,2,116.67,7,3,Integrins,Active
T0005J,,472.35,0.0700000000000003,5,2,116.67,7,3,Integrins,Inactive
T0005K,,639.999,-4.824,16,2,275.95,13,2,Neuropilin-1/VEGF-A,Inactive
T0005L,,490.578,2.942,7,0,116.92,9,3,FKBP1A/FK506,Inactive
T0005M,,530.596,4.951,5,1,92.87,7,6,Integrins,Active
T0005N,,530.596,4.951,5,1,92.87,7,6,Integrins,Active
T0005O,,480.547,-1.321,6,7,207.33,13,2,Integrins,Inactive
T0005P,,480.547,-1.321,6,7,207.33,13,2,Integrins,Active
T0005Q,,645.923,9.185,3,1,67.51,2,4,Beta-catenin/TCF,Active
T0005R,,528.413,6.786,5,1,81.7,7,4,"BCL-like/BAX,BAK",Active
T0005S,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Active
T0005T,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Inactive
T0005U,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Active
T0005V,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Active
T0005W,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Inactive
T0005X,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Inactive
T0005Y,,506.669,2.11,6,3,124.68,7,3,XIAP/SMAC,Active
T0005Z,,535.486,5.711,5,1,59.87,6,6,HIF-1a/p300,Active
T00060,,366.461,4.057,4,2,71.45,8,4,Integrins,Active
T00061,,401.054,4.098,3,2,58.56,3,2,Transthyretin tetramer,Active
T00062,,587.702,4.227,7,2,134.05,9,5,Integrins,Active
T00063,,331.397,1.876,3,2,78.51,3,3,Bromodomain/Histone,Active
T00064,,401.467,0.507,4,3,131.03,6,3,Integrins,Active
T00065,,401.467,0.507,4,3,131.03,6,3,Integrins,Active
T00066,,402.501,3.67,5,3,96.26,5,3,Cyclophilins,Inactive
T00067,,361.401,3.453,3,4,90.46,6,3,HIF-1a/p300,Active
T00068,,522.646,3.932,4,5,136.63,13,2,Integrins,Inactive
T00069,,522.646,3.932,4,5,136.63,13,2,Integrins,Inactive
T0006A,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006B,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006C,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006D,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006E,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006F,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006G,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006H,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006I,,890.459,9.202,9,2,168.21,16,7,"BCL-like/BAX,BAK",Active
T0006J,,890.459,9.202,9,2,168.21,16,7,"BCL-like/BAX,BAK",Active
T0006K,,485.63,6.011,5,0,46.61,8,4,"BCL-like/BAX,BAK",Inactive
T0006L,,794.466,8.359,8,2,93.16,12,7,"BCL-like/BAX,BAK",Active
T0006M,,618.669,1.043,9,6,223.53,12,3,Integrins,Active
T0006N,,434.577,5.202,5,1,84.94,10,1,"BCL-like/BAX,BAK",Active
T0006O,,423.513,2.33,5,3,100.55,9,4,Integrins,Active
T0006P,,534.617,4.896,9,3,138.68,11,4,Integrins,Active
T0006Q,,543.568,0.459,8,5,155.14,11,3,Integrins,Active
T0006R,,543.568,0.459,8,5,155.14,11,3,Integrins,Active
T0006S,,538.645,2.19,6,5,148.07,12,3,XIAP/SMAC,Active
T0006T,,1035.052,2.906,10,9,338.99,34,2,P53/HDM2,Inactive
T0006U,,439.56,1.782,5,3,103.43,7,3,XIAP/SMAC,Active
T0006V,,564.668,0.562,8,2,136.04,9,5,Integrins,Active
T0006W,,451.483,-1.358,5,4,156.89,8,3,Integrins,Active
T0006X,,451.483,-1.358,5,4,156.89,8,3,Integrins,Active
T0006Y,,630.827,2.021,9,8,198.4,8,3,Integrins,Active
T0006Z,,630.827,2.021,9,8,198.4,8,3,Integrins,Inactive
T00070,,439.025,5.108,2,2,49.33,2,2,Transthyretin tetramer,Inactive
T00071,,477.582,4.613,4,2,100.54,8,4,Integrins,Active
T00072,,477.582,4.613,4,2,100.54,8,4,Integrins,Inactive
T00073,,477.582,4.613,4,2,100.54,8,4,Integrins,Inactive
T00074,,655.32,4.392,6,1,97.99,9,4,P53/HDM2,Inactive
T00075,,412.555,4.077,3,1,66.48,8,3,FKBP1A/FK506,Active
T00076,,666.576,5.922,8,1,128.67,13,4,FKBP1A/FK506,Active
T00077,,261.321,3.072,4,1,55.49,4,2,Bromodomain/Histone,Active
T00078,,454.574,4.694,6,0,50.6,7,5,HIF-1a/p300,Inactive
T00079,,384.435,4.828,2,3,82.19,6,4,Integrins,Inactive
T0007A,,411.546,2.727,5,1,56.25,5,4,RAC1/TIAM1,Active
T0007B,,572.312,4.353,6,1,98.29,7,4,Integrins,Active
T0007C,,378.469,0.787,6,3,89.05,8,3,Neuropilin-1/VEGF-A,Active
T0007D,,621.756,4.962,8,3,134.27,11,5,Integrins,Active
T0007E,,621.756,4.962,8,3,134.27,11,5,Integrins,Active
T0007F,,621.756,4.962,8,3,134.27,11,5,Integrins,Active
T0007G,,451.632,5.245,4,0,54.45,9,3,FKBP1A/FK506,Active
T0007H,,3001.38499999999,-12.378,41,44,1344.49,104,3,"BCL-like/BAX,BAK",Active
T0007I,,509.646,6.784,4,2,70.0,12,4,"BCL-like/BAX,BAK",Active
T0007J,,421.946,4.628,4,0,63.68,7,3,FKBP1A/FK506,Active
T0007K,,506.908,6.515,4,2,88.4,6,3,Integrins,Active
T0007L,,506.908,6.515,4,2,88.4,6,3,Integrins,Active
T0007M,,506.908,6.515,4,2,88.4,6,3,Integrins,Active
T0007N,,277.364,2.645,3,0,38.77,3,2,FKBP1A/FK506,Inactive
T0007O,,513.642,5.27,6,2,98.14,10,7,HIF-1a/p300,Inactive
T0007P,,480.569,0.864,7,4,136.02,9,4,Integrins,Active
T0007Q,,480.569,0.864,7,4,136.02,9,4,Integrins,Active
T0007R,,480.569,0.864,7,4,136.02,9,4,Integrins,Active
T0007S,,480.569,0.864,7,4,136.02,9,4,Integrins,Active
T0007T,,480.569,0.864,7,4,136.02,9,4,Integrins,Active
T0007U,,600.521,4.011,6,2,133.32,10,3,Integrins,Active
T0007V,,600.521,4.011,6,2,133.32,10,3,Integrins,Active
T0007W,,600.521,4.011,6,2,133.32,10,3,Integrins,Active
T0007X,,430.549,2.396,4,4,136.58,8,2,Integrins,Active
T0007Y,,430.549,2.396,4,4,136.58,8,2,Integrins,Active
T0007Z,,512.654,4.216,4,1,82.61,9,4,Integrins,Active
T00080,,450.967,0.91,5,3,111.63,8,3,Integrins,Active
