DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings,Common Target Pref Name,Active
T00015,,502.593,2.1,5,4,144.91,9,3,Integrins,Active
T00016,,522.623,4.713,6,3,121.8,9,4,Integrins,Active
T00017,,522.623,4.713,6,3,121.8,9,4,Integrins,Active
T00018,,522.623,4.713,6,3,121.8,9,4,Integrins,Active
T00019,,485.544,3.62,5,5,148.61,8,4,Integrins,Active
T0001A,,485.544,3.62,5,5,148.61,8,4,Integrins,Active
T0001B,,356.444,1.05,5,1,84.94,8,2,FKBP1A/FK506,Inactive
T0001C,,508.619,3.549,4,4,127.84,9,3,Integrins,Inactive
T0001D,,508.619,3.549,4,4,127.84,9,3,Integrins,Inactive
T0001E,,376.441,3.971,6,2,93.51,5,4,"BCL-like/BAX,BAK",Inactive
T0001F,,459.546,1.227,5,3,100.55,8,4,Integrins,Active
T0001G,,459.546,1.227,5,3,100.55,8,4,Integrins,Active
T0001H,,498.963,3.049,6,0,85.38,5,5,FKBP1A/FK506,Active
T0001I,,486.53,-3.531,7,8,261.19,15,0,Integrins,Inactive
T0001J,,486.53,-3.531,7,8,261.19,15,0,Integrins,Inactive
T0001K,,721.7,5.993,9,0,103.84,14,5,FKBP1A/FK506,Inactive
T0001L,,423.473,2.125,6,2,106.08,4,4,Integrins,Active
T0001M,,423.473,2.125,6,2,106.08,4,4,Integrins,Inactive
T0001N,,425.595,2.086,5,3,108.39,14,2,Integrins,Active
T0001O,,647.781,-2.007,11,8,281.5,10,1,Integrins,Active
T0001P,,647.781,-2.007,11,8,281.5,10,1,Integrins,Active
T0001Q,,581.718,1.611,8,2,131.44,11,4,Integrins,Active
T0001R,,581.718,1.611,8,2,131.44,11,4,Integrins,Active
T0001S,,581.718,1.611,8,2,131.44,11,4,Integrins,Active
T0001T,,611.285,4.666,4,2,103.78,7,3,Integrins,Active
T0001U,,611.285,4.666,4,2,103.78,7,3,Integrins,Active
T0001V,,611.285,4.666,4,2,103.78,7,3,Integrins,Active
T0001W,,325.799,4.588,4,1,49.46,5,3,Neuropilin-1/VEGF-A,Active
T0001X,,1031.335,5.335,15,2,213.97,7,5,FKBP1A/FK506,Inactive
T0001Y,,475.506,-2.632,6,7,206.81,13,2,Integrins,Active
T0001Z,,475.506,-2.632,6,7,206.81,13,2,Integrins,Active
T00020,,699.617,1.16,8,3,172.8,10,5,Integrins,Active
T00021,,699.617,1.16,8,3,172.8,10,5,Integrins,Active
T00022,,526.352,2.708,7,6,152.15,8,3,Integrins,Active
T00023,,526.352,2.708,7,6,152.15,8,3,Integrins,Active
T00024,,552.575,1.731,7,4,143.64,13,3,Integrins,Active
T00025,,552.575,1.731,7,4,143.64,13,3,Integrins,Active
T00026,,443.532,5.284,7,2,90.71,5,5,"BCL-like/BAX,BAK",Active
T00027,,449.49,-5.651,8,9,252.32,14,0,Integrins,Active
T00028,,449.49,-5.651,8,9,252.32,14,0,Integrins,Active
T00029,,476.316,4.052,5,3,121.53,7,3,Integrins,Active
T0002A,,476.316,4.052,5,3,121.53,7,3,Integrins,Active
T0002B,,226.275,4.478,1,1,37.3,3,2,"BCL-like/BAX,BAK",Inactive
T0002C,,359.39,-2.043,6,5,159.01,9,2,Integrins,Inactive
T0002D,,359.39,-2.043,6,5,159.01,9,2,Integrins,Inactive
T0002E,,359.39,-2.043,6,5,159.01,9,2,Integrins,Active
T0002F,,359.39,-2.043,6,5,159.01,9,2,Integrins,Active
T0002G,,442.154,9.024,0,0,7.76,2,4,"BCL-like/BAX,BAK",Inactive
T0002H,,442.154,9.024,0,0,7.76,2,4,"BCL-like/BAX,BAK",Inactive
T0002I,,513.656,4.675,5,2,109.77,9,4,Integrins,Active
T0002J,,513.656,4.675,5,2,109.77,9,4,Integrins,Active
T0002K,,513.656,4.675,5,2,109.77,9,4,Integrins,Active
T0002L,,421.457,1.886,4,6,161.16,9,3,Integrins,Active
T0002M,,421.457,1.886,4,6,161.16,9,3,Integrins,Active
T0002N,,457.335,3.13,4,2,103.78,7,3,Integrins,Active
T0002O,,457.335,3.13,4,2,103.78,7,3,Integrins,Active
T0002P,,570.716,2.78,8,4,143.44,9,4,Integrins,Active
T0002Q,,570.716,2.78,8,4,143.44,9,4,Integrins,Active
T0002R,,337.423,2.707,2,2,61.44,5,3,FKBP1A/FK506,Inactive
T0002S,,439.556,2.111,4,3,98.74,7,3,Integrins,Active
T0002T,,439.556,2.111,4,3,98.74,7,3,Integrins,Active
T0002U,,439.556,2.111,4,3,98.74,7,3,Integrins,Active
T0002V,,439.556,2.111,4,3,98.74,7,3,Integrins,Active
T0002W,,644.821,3.254,5,7,185.3,15,4,p53/MDMX,Inactive
T0002X,,593.529,5.634,6,2,105.17,11,4,Integrins,Active
T0002Y,,593.529,5.634,6,2,105.17,11,4,Integrins,Active
T0002Z,,494.572,5.22,6,1,80.89,4,6,"BCL-like/BAX,BAK",Inactive
T00030,,493.608,1.175,5,4,133.63,11,3,XIAP/SMAC,Active
T00031,,462.551,2.548,8,4,147.47,9,3,Integrins,Active
T00032,,462.551,2.548,8,4,147.47,9,3,Integrins,Active
T00033,,423.007,4.099,3,3,69.56,2,2,Transthyretin tetramer,Inactive
T00034,,404.488,1.79,5,2,95.94,5,3,RAC1/TIAM1,Active
T00035,,536.613,3.309,5,3,115.39,7,6,Integrins,Active
T00036,,372.513,1.711,4,3,87.46,6,3,XIAP/SMAC,Inactive
T00037,,430.556,4.09,7,2,67.24,8,5,RAC1/TIAM1,Active
T00038,,570.803,3.313,7,6,152.15,8,3,Integrins,Active
T00039,,570.803,3.313,7,6,152.15,8,3,Integrins,Active
T0003A,,570.803,3.313,7,6,152.15,8,3,Integrins,Active
T0003B,,468.341,3.305,5,5,132.45,10,2,Integrins,Inactive
T0003C,,468.341,3.305,5,5,132.45,10,2,Integrins,Inactive
T0003D,,344.459,2.57,4,3,93.65,5,3,Integrins,Active
T0003E,,344.459,2.57,4,3,93.65,5,3,Integrins,Active
T0003F,,292.726,0.949,5,2,88,3,2,HIF-1a/p300,Inactive
T0003G,,350.484,3.201,3,1,66.48,7,2,FKBP1A/FK506,Inactive
T0003H,,388.452,4.734,6,2,87.47,5,4,"BCL-like/BAX,BAK",Active
T0003I,,417.259,3.601,3,3,91.42,6,3,Integrins,Active
T0003J,,230.271,1.105,5,2,84.92,2,2,HIF-1a/p300,Inactive
T0003K,,472.545,3.693,7,2,98.5,9,5,Integrins,Active
T0003L,,624.655,-1.381,8,10,264.93,8,3,Integrins,Active
T0003M,,624.655,-1.381,8,10,264.93,8,3,Integrins,Active
T0003N,,624.655,-1.381,8,10,264.93,8,3,Integrins,Active
T0003O,,624.655,-1.381,8,10,264.93,8,3,Integrins,Active
T0003P,,561.68,-0.889,7,6,191.16,13,2,XIAP/SMAC,Active
T0003Q,,312.366,1.532,5,1,84.94,2,2,Cyclophilins,Inactive
T0003R,,312.366,1.532,5,1,84.94,2,2,Cyclophilins,Inactive
T0003S,,1007.623,12.19,11,3,144.29,17,8,"BCL-like/BAX,BAK",Active
T0003T,,453.549,2.659,7,2,113.94,8,4,Integrins,Inactive
T0003U,,356.422,1.196,4,2,88.52,10,2,Integrins,Active
T0003V,,356.422,1.196,4,2,88.52,10,2,Integrins,Active
T0003W,,553.386,4.523,4,2,103.78,7,3,Integrins,Active
T0003X,,553.386,4.523,4,2,103.78,7,3,Integrins,Inactive
T0003Y,,553.386,4.523,4,2,103.78,7,3,Integrins,Inactive
T0003Z,,466.397,4.804,4,0,63.68,7,3,FKBP1A/FK506,Active
T00040,,534.404,1.849,9,3,142.46,11,3,Integrins,Active
T00041,,534.404,1.849,9,3,142.46,11,3,Integrins,Active
T00042,,612.711,6.052,9,3,164.58,12,4,"BCL-like/BAX,BAK",Inactive
T00043,,612.711,6.052,9,3,164.58,12,4,"BCL-like/BAX,BAK",Active
T00044,,425.533,1.378,5,3,103.43,7,3,XIAP/SMAC,Active
T00045,,687.771,3.933,9,4,175.39,9,5,FKBP1A/FK506,Active
T00046,,256.213,2.48,5,3,94.83,0,3,"BCL-like/BAX,BAK",Active
T00047,,465.51,2.297,9,3,119.76,9,5,Integrins,Active
T00048,,465.51,2.297,9,3,119.76,9,5,Integrins,Active
T00049,,591.473,1.041,6,3,145.77,9,4,Integrins,Active
T0004A,,591.473,1.041,6,3,145.77,9,4,Integrins,Active
T0004B,,755.813,0.565,11,5,200.43,24,3,Integrins,Active
T0004C,,755.813,0.565,11,5,200.43,24,3,Integrins,Active
T0004D,,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
T0004E,,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
T0004F,,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
T0004G,,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
T0004H,,1354.595,-4.732,22,22,677.9,21,2,Integrins,Inactive
T0004I,,706.004,5.504,7,3,154.88,8,5,Integrins,Active
T0004J,,714.636,-7.702,20,1,333.59,16,2,Neuropilin-1/VEGF-A,Inactive
T0004K,,469.572,5.726,3,0,54.45,10,3,FKBP1A/FK506,Active
T0004L,,379.382,4.484,4,2,65.46,3,3,RAC1/TIAM1,Active
T0004M,,332.404,0.779,4,2,85.77,4,3,Integrins,Inactive
T0004N,,332.404,0.779,4,2,85.77,4,3,Integrins,Inactive
T0004O,,339.395,3.226,5,2,76.38,9,3,Integrins,Inactive
T0004P,,339.395,3.226,5,2,76.38,9,3,Integrins,Inactive
T0004Q,,339.395,3.226,5,2,76.38,9,3,Integrins,Inactive
T0004R,,339.395,3.226,5,2,76.38,9,3,Integrins,Inactive
T0004S,,339.395,3.226,5,2,76.38,9,3,Integrins,Active
T0004T,,387.675,4.747,3,2,50.36,2,3,Cyclophilins,Inactive
T0004U,,298.367,3.318,3,2,50.36,2,3,Cyclophilins,Inactive
T0004V,,674.39,2.395,6,3,145.77,9,4,Integrins,Active
T0004W,,494.572,4.987,6,1,80.89,5,6,"BCL-like/BAX,BAK",Inactive
T0004X,,541.626,3.669,6,4,143.06,12,3,Integrins,Active
T0004Y,,490.648,3.58,5,3,94.56,8,5,Integrins,Active
T0004Z,,490.648,3.58,5,3,94.56,8,5,Integrins,Inactive
T00050,,490.648,3.58,5,3,94.56,8,5,Integrins,Active
T00051,,687.797,1.741,10,7,214.47,8,4,Integrins,Active
T00052,,687.797,1.741,10,7,214.47,8,4,Integrins,Active
T00053,,514.604,1.518,6,4,144.91,10,4,Integrins,Active
T00054,,514.604,1.518,6,4,144.91,10,4,Integrins,Active
T00055,,943.16,4.524,13,3,196.46,10,5,FKBP1A/FK506,Active
T00056,,494.979,4.559,4,3,127.79,4,3,Integrins,Active
T00057,,494.979,4.559,4,3,127.79,4,3,Integrins,Active
T00058,,494.979,4.559,4,3,127.79,4,3,Integrins,Active
T00059,,494.979,4.559,4,3,127.79,4,3,Integrins,Active
T0005A,,727.887,6.874,8,3,147.62,11,7,"BCL-like/BAX,BAK",Active
T0005B,,727.887,6.874,8,3,147.62,11,7,"BCL-like/BAX,BAK",Active
T0005C,,559.644,4.683,5,4,133.83,11,4,Integrins,Active
T0005D,,845.846,6.15,9,6,233.25,17,5,STAT3 dimer,Inactive
T0005E,,364.355,3.806,4,2,66.91,3,4,"BCL-like/BAX,BAK",Active
T0005F,,411.252,1.989,7,1,111.64,5,2,"BCL-like/BAX,BAK",Active
T0005G,,278.699,3.354,6,0,69.9,4,2,CRM1/Rev,Inactive
T0005H,,472.35,0.0700000000000003,5,2,116.67,7,3,Integrins,Active
T0005I,,472.35,0.0700000000000003,5,2,116.67,7,3,Integrins,Active
T0005J,,472.35,0.0700000000000003,5,2,116.67,7,3,Integrins,Inactive
T0005K,,639.999,-4.824,16,2,275.95,13,2,Neuropilin-1/VEGF-A,Inactive
T0005L,,490.578,2.942,7,0,116.92,9,3,FKBP1A/FK506,Inactive
T0005M,,530.596,4.951,5,1,92.87,7,6,Integrins,Active
T0005N,,530.596,4.951,5,1,92.87,7,6,Integrins,Active
T0005O,,480.547,-1.321,6,7,207.33,13,2,Integrins,Inactive
T0005P,,480.547,-1.321,6,7,207.33,13,2,Integrins,Active
T0005Q,,645.923,9.185,3,1,67.51,2,4,Beta-catenin/TCF,Active
T0005R,,528.413,6.786,5,1,81.7,7,4,"BCL-like/BAX,BAK",Active
T0005S,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Active
T0005T,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Inactive
T0005U,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Active
T0005V,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Active
T0005W,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Inactive
T0005X,,391.302,-0.0810000000000001,5,3,154.48,4,2,Integrins,Inactive
T0005Y,,506.669,2.11,6,3,124.68,7,3,XIAP/SMAC,Active
T0005Z,,535.486,5.711,5,1,59.87,6,6,HIF-1a/p300,Active
T00060,,366.461,4.057,4,2,71.45,8,4,Integrins,Active
T00061,,401.054,4.098,3,2,58.56,3,2,Transthyretin tetramer,Active
T00062,,587.702,4.227,7,2,134.05,9,5,Integrins,Active
T00063,,331.397,1.876,3,2,78.51,3,3,Bromodomain/Histone,Active
T00064,,401.467,0.507,4,3,131.03,6,3,Integrins,Active
T00065,,401.467,0.507,4,3,131.03,6,3,Integrins,Active
T00066,,402.501,3.67,5,3,96.26,5,3,Cyclophilins,Inactive
T00067,,361.401,3.453,3,4,90.46,6,3,HIF-1a/p300,Active
T00068,,522.646,3.932,4,5,136.63,13,2,Integrins,Inactive
T00069,,522.646,3.932,4,5,136.63,13,2,Integrins,Inactive
T0006A,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006B,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006C,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006D,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006E,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006F,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006G,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006H,,588.666,0.707,7,7,238.41,9,2,Integrins,Active
T0006I,,890.459,9.202,9,2,168.21,16,7,"BCL-like/BAX,BAK",Active
T0006J,,890.459,9.202,9,2,168.21,16,7,"BCL-like/BAX,BAK",Active
T0006K,,485.63,6.011,5,0,46.61,8,4,"BCL-like/BAX,BAK",Inactive
T0006L,,794.466,8.359,8,2,93.16,12,7,"BCL-like/BAX,BAK",Active
T0006M,,618.669,1.043,9,6,223.53,12,3,Integrins,Active
T0006N,,434.577,5.202,5,1,84.94,10,1,"BCL-like/BAX,BAK",Active
T0006O,,423.513,2.33,5,3,100.55,9,4,Integrins,Active
T0006P,,534.617,4.896,9,3,138.68,11,4,Integrins,Active
T0006Q,,543.568,0.459,8,5,155.14,11,3,Integrins,Active
T0006R,,543.568,0.459,8,5,155.14,11,3,Integrins,Active
T0006S,,538.645,2.19,6,5,148.07,12,3,XIAP/SMAC,Active
T0006T,,1035.052,2.906,10,9,338.99,34,2,P53/HDM2,Inactive
T0006U,,439.56,1.782,5,3,103.43,7,3,XIAP/SMAC,Active
T0006V,,564.668,0.562,8,2,136.04,9,5,Integrins,Active
T0006W,,451.483,-1.358,5,4,156.89,8,3,Integrins,Active
T0006X,,451.483,-1.358,5,4,156.89,8,3,Integrins,Active
T0006Y,,630.827,2.021,9,8,198.4,8,3,Integrins,Active
T0006Z,,630.827,2.021,9,8,198.4,8,3,Integrins,Inactive
T00070,,439.025,5.108,2,2,49.33,2,2,Transthyretin tetramer,Inactive
T00071,,477.582,4.613,4,2,100.54,8,4,Integrins,Active
T00072,,477.582,4.613,4,2,100.54,8,4,Integrins,Inactive
T00073,,477.582,4.613,4,2,100.54,8,4,Integrins,Inactive
T00074,,655.32,4.392,6,1,97.99,9,4,P53/HDM2,Inactive
T00075,,412.555,4.077,3,1,66.48,8,3,FKBP1A/FK506,Active
T00076,,666.576,5.922,8,1,128.67,13,4,FKBP1A/FK506,Active
T00077,,261.321,3.072,4,1,55.49,4,2,Bromodomain/Histone,Active
T00078,,454.574,4.694,6,0,50.6,7,5,HIF-1a/p300,Inactive
T00079,,384.435,4.828,2,3,82.19,6,4,Integrins,Inactive
T0007A,,411.546,2.727,5,1,56.25,5,4,RAC1/TIAM1,Active
T0007B,,572.312,4.353,6,1,98.29,7,4,Integrins,Active
T0007C,,378.469,0.787,6,3,89.05,8,3,Neuropilin-1/VEGF-A,Active
T0007D,,621.756,4.962,8,3,134.27,11,5,Integrins,Active
T0007E,,621.756,4.962,8,3,134.27,11,5,Integrins,Active
T0007F,,621.756,4.962,8,3,134.27,11,5,Integrins,Active
T0007G,,451.632,5.245,4,0,54.45,9,3,FKBP1A/FK506,Active
T0007H,,3001.38499999999,-12.378,41,44,1344.49,104,3,"BCL-like/BAX,BAK",Active
T0007I,,509.646,6.784,4,2,70,12,4,"BCL-like/BAX,BAK",Active
T0007J,,421.946,4.628,4,0,63.68,7,3,FKBP1A/FK506,Active
T0007K,,506.908,6.515,4,2,88.4,6,3,Integrins,Active
T0007L,,506.908,6.515,4,2,88.4,6,3,Integrins,Active
T0007M,,506.908,6.515,4,2,88.4,6,3,Integrins,Active
T0007N,,277.364,2.645,3,0,38.77,3,2,FKBP1A/FK506,Inactive
T0007O,,513.642,5.27,6,2,98.14,10,7,HIF-1a/p300,Inactive
T0007P,,480.569,0.864,7,4,136.02,9,4,Integrins,Active
T0007Q,,480.569,0.864,7,4,136.02,9,4,Integrins,Active
T0007R,,480.569,0.864,7,4,136.02,9,4,Integrins,Active
T0007S,,480.569,0.864,7,4,136.02,9,4,Integrins,Active
T0007T,,480.569,0.864,7,4,136.02,9,4,Integrins,Active
T0007U,,600.521,4.011,6,2,133.32,10,3,Integrins,Active
T0007V,,600.521,4.011,6,2,133.32,10,3,Integrins,Active
T0007W,,600.521,4.011,6,2,133.32,10,3,Integrins,Active
T0007X,,430.549,2.396,4,4,136.58,8,2,Integrins,Active
T0007Y,,430.549,2.396,4,4,136.58,8,2,Integrins,Active
T0007Z,,512.654,4.216,4,1,82.61,9,4,Integrins,Active
T00080,,450.967,0.91,5,3,111.63,8,3,Integrins,Active
T00081,,450.967,0.91,5,3,111.63,8,3,Integrins,Active
T00082,,377.227,4.132,2,3,82.19,5,3,Integrins,Active
T00083,,436.493,2.966,6,2,114.19,7,4,Integrins,Inactive
T00084,,416.506,3.023,5,2,78.09,5,5,RAC1/TIAM1,Active
T00085,,518.658,4.581,4,3,103.53,8,4,p53/MDMX,Inactive
T00086,,428.517,5.665,6,2,87.47,4,5,"BCL-like/BAX,BAK",Active
T00087,,510.612,4.385,6,2,105.17,10,4,Integrins,Active
T00088,,510.612,4.385,6,2,105.17,10,4,Integrins,Active
T00089,,240.262,1.978,4,2,65.18,3,2,S100B/p53,Inactive
T0008A,,462.506,2.294,5,4,149.72,7,4,Integrins,Active
T0008B,,462.506,2.294,5,4,149.72,7,4,Integrins,Active
T0008C,,391.471,3.339,3,3,104.78,7,3,Integrins,Active
T0008D,,391.471,3.339,3,3,104.78,7,3,Integrins,Active
T0008E,,490.648,3.369,5,3,94.56,8,5,Integrins,Active
T0008F,,490.648,3.369,5,3,94.56,8,5,Integrins,Inactive
T0008G,,490.648,3.369,5,3,94.56,8,5,Integrins,Active
T0008H,,493.521,-3.794,7,9,249.82,15,1,Integrins,Active
T0008I,,493.521,-3.794,7,9,249.82,15,1,Integrins,Active
T0008J,,493.521,-4.455,7,8,252.32,15,1,Integrins,Active
T0008K,,493.521,-4.455,7,8,252.32,15,1,Integrins,Active
T0008L,,527.665,5.642,6,2,83.8,8,6,"BCL-like/BAX,BAK",Inactive
T0008M,,911.595,10.089,12,2,146.07,16,8,"BCL-like/BAX,BAK",Active
T0008N,,537.617,0.93,6,3,131.52,8,4,Integrins,Active
T0008O,,537.617,0.93,6,3,131.52,8,4,Integrins,Active
T0008P,,560.654,6.852,8,0,84.62,8,7,HIF-1a/p300,Active
T0008Q,,458.549,7.557,4,1,36.36,5,4,Integrins,Active
T0008R,,386.496,4.601,3,5,132.06,12,2,Integrins,Active
T0008S,,386.496,4.601,3,5,132.06,12,2,Integrins,Active
T0008T,,358.346,3.872,7,1,87.36,5,3,Tubulin dimer,Inactive
T0008U,,820.884,2.527,11,10,304.51,17,4,Integrins,Active
T0008V,,820.884,2.527,11,10,304.51,17,4,Integrins,Active
T0008W,,820.884,2.527,11,10,304.51,17,4,Integrins,Active
T0008X,,325.383,5.249,2,0,37.38,3,3,Tubulin dimer,Inactive
T0008Y,,444.491,2.767,7,0,80.81,5,5,HIF-1a/p300,Active
T0008Z,,528.972,3.641,8,4,138.24,9,4,Integrins,Inactive
T00090,,528.972,3.641,8,4,138.24,9,4,Integrins,Inactive
T00091,,510.407,-8.082,18,0,284.18,10,1,Neuropilin-1/VEGF-A,Inactive
T00092,,537.634,4.443,6,2,119,10,4,Integrins,Active
T00093,,537.634,4.443,6,2,119,10,4,Integrins,Active
T00094,,537.634,4.443,6,2,119,10,4,Integrins,Active
T00095,,537.634,4.443,6,2,119,10,4,Integrins,Active
T00096,,537.634,4.443,6,2,119,10,4,Integrins,Active
T00097,,537.634,4.443,6,2,119,10,4,Integrins,Active
T00098,,531.653,4.107,5,2,99.18,9,4,Integrins,Active
T00099,,497.489,-0.677,8,5,185.42,13,2,Integrins,Active
T0009A,,497.489,-0.677,8,5,185.42,13,2,Integrins,Active
T0009B,,634.73,2.68,7,4,155.53,17,3,Integrins,Active
T0009C,,634.73,2.68,7,4,155.53,17,3,Integrins,Active
T0009D,,359.47,2.043,4,1,73.74,6,3,Integrins,Active
T0009E,,359.47,2.043,4,1,73.74,6,3,Integrins,Active
T0009F,,351.45,2.851,2,2,61.44,6,3,FKBP1A/FK506,Inactive
T0009G,,392.496,3.767,5,1,84.94,8,1,"BCL-like/BAX,BAK",Inactive
T0009H,,456.546,-1.663,8,6,170.85,5,2,Integrins,Active
T0009I,,456.546,-1.663,8,6,170.85,5,2,Integrins,Inactive
T0009J,,483.630000000001,4.76,4,2,100.54,8,4,Integrins,Active
T0009K,,483.630000000001,4.76,4,2,100.54,8,4,Integrins,Active
T0009L,,483.630000000001,4.76,4,2,100.54,8,4,Integrins,Inactive
T0009M,,493.608,1.488,5,3,105.22,8,4,Integrins,Active
T0009N,,493.608,1.488,5,3,105.22,8,4,Integrins,Active
T0009O,,434.449,-3.695,7,3,159.34,9,2,Integrins,Active
T0009P,,434.449,-3.695,7,3,159.34,9,2,Integrins,Active
T0009Q,,704.898000000001,6.508,10,4,169.05,6,6,"BCL-like/BAX,BAK",Inactive
T0009R,,480.649,4.349,6,1,52.19,7,5,HIF-1a/p300,Active
T0009S,,588.051,4.676,5,2,100.87,8,5,Integrins,Active
T0009T,,588.051,4.676,5,2,100.87,8,5,Integrins,Active
T0009U,,417.597,5.209,4,1,62.28,8,4,MENIN/MLL,Active
T0009V,,417.597,5.209,4,1,62.28,8,4,MENIN/MLL,Active
T0009W,,401.423,0.0949999999999998,5,4,156.89,6,3,Integrins,Active
T0009X,,401.423,0.0949999999999998,5,4,156.89,6,3,Integrins,Active
T0009Y,,296.552,3.24,4,0,6.48,4,0,P53/HDM2,Inactive
T0009Z,,556.666,5.946,5,0,67.67,7,6,"BCL-like/BAX,BAK",Active
T000A0,,1073.402,6.786,14,6,242.5,25,8,XIAP/SMAC,Active
T000A1,,527.286,1.55,5,3,121.28,7,3,Integrins,Active
T000A2,,527.286,1.55,5,3,121.28,7,3,Integrins,Active
T000A3,,392.337,3.166,3,5,128.3,5,2,Integrins,Active
T000A4,,392.337,3.166,3,5,128.3,5,2,Integrins,Active
T000A5,,708.864,4.589,6,7,194.53,16,5,p53/MDMX,Inactive
T000A6,,708.864,4.589,6,7,194.53,16,5,P53/HDM2,Inactive
T000A7,,460.535,0.311,5,6,177.71,12,2,Integrins,Inactive
T000A8,,447.969,4.487,4,3,79.46,6,3,Cyclophilins,Inactive
T000A9,,479.96,5.194,4,2,84.86,8,4,Integrins,Active
T000AA,,479.96,5.194,4,2,84.86,8,4,Integrins,Active
T000AB,,479.96,5.194,4,2,84.86,8,4,Integrins,Active
T000AC,,609.293,6.554,5,3,117.09,8,4,Integrins,Active
T000AD,,609.293,6.554,5,3,117.09,8,4,Integrins,Active
T000AE,,544.435,4.207,6,2,110.52,8,4,Integrins,Active
T000AF,,544.435,4.207,6,2,110.52,8,4,Integrins,Active
T000AG,,544.435,4.207,6,2,110.52,8,4,Integrins,Active
T000AH,,588.749,4.302,7,4,131.78,12,7,Integrins,Inactive
