DLiP-ID,Target Pref Name
T000CF,Integrins
T000CG,FKBP1A/FK506
T000CH,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000CI,Cyclophilins
T000CJ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000CK,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000CL,FKBP1A/FK506
T000CM,Integrins
T000CN,Integrins
T000CO,Integrins
T000CP,Integrins
T000CQ,Integrins
T000CR,Integrins
T000CS,Integrins
T000CT,Integrins
T000CU,Integrins
T000CV,Integrins
T000CW,Integrins
T000CX,Integrins
T000CY,Integrins
T000CZ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000D0,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000D1,p53/MDM2
T000D2,Integrins
T000D3,Integrins
T000D4,Integrins
T000D5,Integrins
T000D6,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000D7,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000D8,FKBP1A/FK506
T000D9,Integrins
T000DA,Integrins
T000DB,Integrins
T000DC,Integrins
T000DD,Integrins
T000DE,Integrins
T000DF,Integrins
T000DG,Integrins
T000DH,Neuropilin-1/VEGF-A
T000DI,FKBP1A/FK506
T000DJ,Integrins
T000DK,Integrins
T000DL,FKBP1A/FK506
T000DM,Rad51/BRCA2
T000DN,Integrins
T000DO,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000DP,Cyclophilins
T000DQ,Integrins
T000DR,Integrins
T000DS,Integrins
T000DT,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000DU,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000DV,Integrins
T000DW,Integrins
T000DX,FKBP1A/FK506
T000DY,Integrins
T000DZ,Integrins
T000E0,Integrins
T000E1,Integrins
T000E2,FKBP1A/FK506
T000E3,Integrins
T000E4,p53/MDMX
T000E5,Integrins
T000E6,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000E7,Integrins
T000E8,Integrins
T000E9,Integrins
T000EA,Integrins
T000EB,Integrins
T000EC,Integrins
T000ED,Integrins
T000EE,Integrins
T000EF,p53/MDM2
T000EG,Integrins
T000EH,p53/MDM2
T000EI,Integrins
T000EJ,Integrins
T000EK,Integrins
T000EL,Integrins
T000EM,FKBP1A/FK506
T000EN,p53/MDM2
T000EO,HIF-1a/p300
T000EP,HIF-1a/p300
T000EQ,Integrins
T000ER,Integrins
T000ES,Integrins
T000ET,Integrins
T000EU,Integrins
T000EV,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000EW,Integrins
T000EX,FKBP1A/FK506
T000EY,Integrins
T000EZ,Integrins
T000F0,Integrins
T000F1,HIF-1a/p300
T000F2,Integrins
T000F3,p53/MDM2
T000F4,Integrins
T000F5,Integrins
T000F6,Integrins
T000F7,FKBP1A/FK506
T000F8,Integrins
T000F9,Integrins
T000FA,Integrins
T000FB,Integrins
T000FC,Integrins
T000FD,Integrins
T000FE,Integrins
T000FF,Integrins
T000FG,CRM1/Rev
T000FH,p53/MDMX
T000FI,p53/MDM2
T000FJ,MLL/Menin
T000FK,FKBP1A/FK506
T000FL,Integrins
T000FM,Integrins
T000FN,Integrins
T000FO,Integrins
T000FP,Integrins
T000FQ,Integrins
T000FR,Integrins
T000FS,Integrins
T000FT,p53/MDM2
T000FU,Integrins
T000FV,Integrins
T000FW,Integrins
T000FX,Integrins
T000FY,Integrins
T000FZ,Integrins
T000G0,Integrins
T000G1,Integrins
T000G2,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000G3,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000G4,Integrins
T000G5,Integrins
T000G6,Integrins
T000G7,Integrins
T000G8,Integrins
T000G9,Integrins
T000GA,Integrins
T000GB,Integrins
T000GC,FKBP1A/FK506
T000GD,Integrins
T000GE,Integrins
T000GF,CRM1/Rev
T000GG,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000GH,Integrins
T000GI,Integrins
T000GJ,p53/MDM2
T000GK,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000GL,Integrins
T000GM,Integrins
T000GN,BRD4/NUT
T000GO,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000GP,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000GQ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000GR,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000GS,Integrins
T000GT,Integrins
T000GU,Integrins
T000GV,p53/MDM2
T000GW,p53/MDM2
T000GX,Integrins
T000GY,Integrins
T000GZ,Integrins
T000H0,Integrins
T000H1,Integrins
T000H2,Integrins
T000H3,Transthyretin tetramer
T000H4,HIF-1a/p300
T000H5,HIF-1a/p300
T000H6,Integrins
T000H7,Integrins
T000H8,Integrins
T000H9,Integrins
T000HA,Integrins
T000HB,FKBP1A/FK506
T000HC,Integrins
T000HD,Integrins
T000HE,Integrins
T000HF,Integrins
T000HG,Integrins
T000HH,Integrins
T000HI,Integrins
T000HJ,Integrins
T000HK,Integrins
T000HL,Integrins
T000HM,Integrins
T000HN,Integrins
T000HO,Integrins
T000HP,Integrins
T000HQ,Integrins
T000HR,Cyclophilins
T000HS,Cyclophilins
T000HT,Integrins
T000HU,Integrins
T000HV,Cyclophilins
T000HW,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000HX,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000HY,HIF-1a/p300
T000HZ,Integrins
T000I0,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000I1,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000I2,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000I3,Integrins
T000I4,Integrins
T000I5,Cyclophilins
T000I6,HIF-1a/p300
T000I7,STAT3 dimer
T000I8,BRD4/NUT
T000I9,Integrins
T000IA,Integrins
T000IB,Integrins
T000IC,p53/MDM2
T000ID,Integrins
T000IE,Integrins
T000IF,Integrins
T000IG,Integrins
T000IH,Integrins
T000II,Integrins
T000IJ,Integrins
T000IK,Integrins
T000IL,Integrins
T000IM,Integrins
T000IN,Integrins
T000IO,Integrins
T000IP,Integrins
T000IQ,Integrins
T000IR,BRD4/NUT
T000IS,p53/MDM2
T000IT,Integrins
T000IU,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000IV,Integrins
T000IW,Integrins
T000IX,Integrins
T000IY,Integrins
T000IZ,Integrins
T000J0,p53/MDM2
T000J1,FKBP1A/FK506
T000J2,Transthyretin tetramer
T000J3,Integrins
T000J4,Integrins
T000J5,Integrins
T000J6,Integrins
T000J7,Integrins
T000J8,Integrins
T000J9,Integrins
T000JA,Integrins
T000JB,Integrins
T000JC,Integrins
T000JD,Integrins
T000JE,Integrins
T000JF,Integrins
T000JG,Integrins
T000JH,Integrins
T000JI,Integrins
T000JJ,Integrins
T000JK,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000JL,Integrins
T000JM,Integrins
T000JN,Integrins
T000JO,Integrins
T000JP,HIF-1a/p300
T000JQ,Integrins
T000JR,Integrins
T000JS,Integrins
T000JT,Integrins
T000JU,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000JV,Integrins
T000JW,Integrins
T000JX,Integrins
T000JY,Integrins
T000JZ,Integrins
T000K0,Integrins
T000K1,Integrins
T000K2,Integrins
T000K3,Integrins
T000K4,Integrins
T000K5,Integrins
T000K6,Integrins
T000K7,Integrins
T000K8,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000K9,Integrins
T000KA,Integrins
T000KB,FKBP1A/FK506
T000KC,Integrins
T000KD,Integrins
T000KE,Integrins
T000KF,UL30(Pol)/UL42 subunits of HSV (herpes simplex virus) type 1 DNA polymerase
T000KG,S100B/p53
T000KH,Integrins
T000KI,Integrins
T000KJ,Integrins
T000KK,p53/MDM2
T000KL,Integrins
T000KM,Integrins
T000KN,Integrins
T000KO,Integrins
T000KP,Integrins
T000KQ,Integrins
T000KR,Integrins
T000KS,Integrins
T000KT,Integrins
T000KU,Integrins
T000KV,Integrins
T000KW,Integrins
T000KX,Integrins
T000KY,p53/MDM2
T000KZ,BRD4/NUT
T000L0,Integrins
T000L1,Integrins
T000L2,p53/MDM2
T000L3,Integrins
T000L4,Integrins
T000L5,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000L6,Integrins
T000L7,Integrins
T000L8,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000L9,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000LA,Integrins
T000LB,Integrins
T000LC,Integrins
T000LD,Integrins
T000LE,Integrins
T000LF,Integrins
T000LG,Integrins
T000LH,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000LI,Integrins
T000LJ,Integrins
T000LK,FKBP1A/FK506
T000LL,Integrins
T000LM,Integrins
T000LN,Integrins
T000LO,Integrins
T000LP,Integrins
T000LQ,Integrins
T000LR,Integrins
T000LS,Integrins
T000LT,Integrins
T000LU,Integrins
T000LV,Integrins
T000LW,Integrins
T000LX,FKBP1A/FK506
T000LY,Integrins
T000LZ,Integrins
T000M0,FKBP1A/FK506
T000M1,Integrins
T000M2,p53/MDM2
T000M3,HIF-1a/p300
T000M4,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000M5,Integrins
T000M6,Integrins
T000M7,Integrins
T000M8,Integrins
T000M9,Integrins
T000MA,Integrins
T000MB,STAT3 dimer
T000MC,Integrins
T000MD,Integrins
T000ME,Rac1/GEFs
T000MF,Integrins
T000MG,Integrins
T000MH,Integrins
T000MI,Integrins
T000MJ,Integrins
T000MK,p53/MDM2
T000ML,Integrins
T000MM,Integrins
T000MN,Integrins
T000MO,Integrins
T000MP,HIF-1a/p300
T000MQ,Integrins
T000MR,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000MS,Integrins
T000MT,Integrins
T000MU,Integrins
T000MV,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000MW,p53/MDM2
T000MX,Integrins
T000MY,FKBP1A/FK506
T000MZ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000N0,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000N1,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000N2,Integrins
T000N3,Integrins
T000N4,IL-2/IL-2Ra
T000N5,Integrins
T000N6,Integrins
T000N7,Integrins
T000N8,Integrins
T000N9,FKBP1A/FK506
T000NA,Integrins
T000NB,Integrins
T000NC,Integrins
T000ND,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000NE,FKBP1A/FK506
T000NF,Integrins
T000NG,Integrins
T000NH,FKBP1A/FK506
T000NI,IL-2/IL-2Ra
T000NJ,IL-2/IL-2Ra
T000NK,Integrins
T000NL,Integrins
T000NM,Integrins
T000NN,Integrins
T000NO,Integrins
T000NP,Integrins
T000NQ,Integrins
T000NR,Integrins
T000NS,Integrins
T000NT,Integrins
T000NU,Integrins
T000NV,Integrins
T000NW,Integrins
T000NX,Integrins
T000NY,Integrins
T000NZ,Integrins
T000O0,Integrins
T000O1,p53/MDM2
T000O2,Integrins
T000O3,Integrins
T000O4,Integrins
T000O5,Integrins
T000O6,Integrins
T000O7,p53/MDMX
T000O8,Integrins
T000O9,Integrins
T000OA,Integrins
T000OB,Integrins
T000OC,Integrins
T000OD,Integrins
T000OE,Integrins
T000OF,Integrins
T000OG,Integrins
T000OH,Integrins
T000OI,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000OJ,Cyclophilins
T000OK,Integrins
T000OL,Integrins
T000OM,Integrins
T000ON,Integrins
T000OO,Integrins
T000OP,Integrins
T000OQ,Integrins
T000OR,p53/MDMX
T000OS,p53/MDM2
T000OT,Integrins
T000OU,Integrins
T000OV,Integrins
T000OW,BRD4/NUT
T000OX,Integrins
T000OY,Integrins
T000OZ,Integrins
T000P0,Integrins
T000P1,Integrins
T000P2,Integrins
T000P3,Integrins
T000P4,Integrins
T000P5,Integrins
T000P6,HIF-1a/p300
T000P7,FKBP1A/FK506
T000P8,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000P9,Integrins
T000PA,Integrins
T000PB,Integrins
T000PC,Integrins
T000PD,Cyclophilins
T000PE,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000PF,BetaCatenin/Tcf4 and Tcf3
T000PG,BetaCatenin/Tcf4 and Tcf3
T000PH,Integrins
T000PI,Integrins
T000PJ,Integrins
T000PK,Integrins
T000PL,FKBP1A/FK506
T000PM,Integrins
T000PN,Integrins
T000PO,Integrins
T000PP,Integrins
T000PQ,Integrins
T000PR,p53/MDM2
T000PS,FKBP1A/FK506
T000PT,Integrins
T000PU,Integrins
T000PV,Integrins
T000PW,Integrins
T000PX,Integrins
T000PY,Integrins
T000PZ,Integrins
T000Q0,Integrins
T000Q1,Integrins
T000Q2,Integrins
T000Q3,Integrins
T000Q4,Integrins
T000Q5,Integrins
T000Q6,Integrins
T000Q7,Integrins
T000Q8,BRD4/NUT
T000Q9,Integrins
T000QA,Integrins
T000QB,Integrins
T000QC,Integrins
T000QD,Integrins
T000QE,Integrins
T000QF,Integrins
T000QG,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000QH,Integrins
T000QI,Integrins
T000QJ,Integrins
T000QK,Integrins
T000QL,Integrins
T000QM,Integrins
T000QN,Integrins
T000QO,Integrins
T000QP,Integrins
T000QQ,Integrins
T000QR,Integrins
T000QS,Integrins
T000QT,Integrins
T000QU,Integrins
T000QV,Integrins
T000QW,Integrins
T000QX,FKBP1A/FK506
T000QY,Neuropilin-1/VEGF-A
T000QZ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000R0,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000R1,BRD4/NUT
T000R2,BRD2/Ack
T000R3,BRDT/H4
T000R4,FKBP1A/FK506
T000R5,FKBP1A/FK506
T000R6,Cyclophilins
T000R7,Integrins
T000R8,Integrins
T000R9,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000RA,Integrins
T000RB,Integrins
T000RC,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000RD,Integrins
T000RE,Integrins
T000RF,Integrins
T000RG,Integrins
T000RH,Integrins
T000RI,Integrins
T000RJ,Integrins
T000RK,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000RL,Integrins
T000RM,MLL/Menin
T000RN,Integrins
T000RO,Cyclophilins
T000RP,p53/MDM2
T000RQ,Integrins
T000RR,Integrins
T000RS,Integrins
T000RT,Integrins
T000RU,Integrins
T000RV,Integrins
T000RW,Integrins
T000RX,Integrins
T000RY,Integrins
T000RZ,Integrins
T000S0,Integrins
T000S1,Integrins
T000S2,Integrins
T000S3,Integrins
T000S4,Integrins
T000S5,Integrins
T000S6,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000S7,p53/MDM2
T000S8,FKBP1A/FK506
T000S9,CRM1/Rev
T000SA,Integrins
T000SB,Integrins
T000SC,Integrins
T000SD,Integrins
T000SE,Integrins
T000SF,HIF-1a/p300
T000SG,Integrins
T000SH,Integrins
T000SI,Integrins
T000SJ,p53/MDM2
T000SK,Integrins
T000SL,Integrins
T000SM,Integrins
T000SN,Integrins
T000SO,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000SP,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000SQ,Integrins
T000SR,Integrins
T000SS,Integrins
T000ST,Integrins
T000SU,Integrins
T000SV,Integrins
T000SW,Integrins
T000SX,Integrins
T000SY,Integrins
T000SZ,FKBP1A/FK506
T000T0,Integrins
T000T1,Integrins
T000T2,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000T3,Integrins
T000T4,Integrins
T000T5,FKBP1A/FK506
T000T6,p53/MDM2
T000T7,S100B/p53
T000T8,p53/MDM2
T000T9,STAT3 dimer
T000TA,Integrins
T000TB,Integrins
T000TC,Integrins
T000TD,Integrins
T000TE,Integrins
T000TF,Integrins
T000TG,Integrins
T000TH,Integrins
T000TI,FKBP1A/FK506
T000TJ,p53/MDM2
T000TK,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000TL,Cyclophilins
